"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"R101","0402","41383.82mil","42160.47mil","41383.82mil","42160.47mil","41383.82mil","42179.368mil","T","270.00","100k"
"R100","0402","42333.82mil","41495.47mil","42333.82mil","41495.47mil","42352.718mil","41495.47mil","T","180.00","100k"
"R99","0402","41713.82mil","41900.47mil","41713.82mil","41900.47mil","41713.82mil","41881.572mil","T","90.00","0R"
"R98","0402","41763.82mil","41900.47mil","41763.82mil","41900.47mil","41763.82mil","41881.572mil","T","90.00","0R"
"R97","0402","43394.68mil","41499.47mil","43394.68mil","41499.47mil","43413.578mil","41499.47mil","T","180.00","470R"
"R96","0402","43648.82mil","42300.47mil","43648.82mil","42300.47mil","43629.922mil","42300.47mil","T","360.00","10k"
"R95","0402","43553.82mil","42235.47mil","43553.82mil","42235.47mil","43553.82mil","42254.368mil","T","270.00","10k"
"R94","0402","41203.82mil","42180.47mil","41203.82mil","42180.47mil","41203.82mil","42199.368mil","T","270.00","10k"
"R93","0402","43648.82mil","42370.47mil","43648.82mil","42370.47mil","43629.922mil","42370.47mil","T","360.00","10k"
"R92","0402","41203.82mil","42265.47mil","41203.82mil","42265.47mil","41203.82mil","42284.368mil","T","270.00","0R"
"R91","0402","43553.82mil","42370.47mil","43553.82mil","42370.47mil","43572.718mil","42370.47mil","T","180.00","0R"
"R90","0402","43888.81mil","42530.47mil","43888.81mil","42530.47mil","43907.708mil","42530.47mil","T","180.00","10k"
"R89","0402","43908.82mil","42600.48mil","43908.82mil","42600.48mil","43908.82mil","42581.582mil","T","90.00","0R"
"R88","0402","41763.82mil","41815.46mil","41763.82mil","41815.46mil","41763.82mil","41834.358mil","T","270.00","2k"
"R87","0402","42763.82mil","42425.47mil","42763.82mil","42425.47mil","42782.718mil","42425.47mil","T","180.00","1k"
"R86","0402","42333.82mil","42435.47mil","42333.82mil","42435.47mil","42352.718mil","42435.47mil","T","180.00","200k"
"R85","0402","42548.83mil","42590.47mil","42548.83mil","42590.47mil","42529.932mil","42590.47mil","T","360.00","470k"
"R84","0402","42333.82mil","42575.47mil","42333.82mil","42575.47mil","42352.718mil","42575.47mil","T","180.00","200k"
"R83","0402","41148.82mil","41840.47mil","41148.82mil","41840.47mil","41129.922mil","41840.47mil","T","360.00","2k"
