"Designator","Footprint","Mid X","Mid Y","Ref X","Ref Y","Pad X","Pad Y","Layer","Rotation","Comment"
"C93","0603","41168.82mil","43445.473mil","41168.82mil","43445.473mil","41168.82mil","43413.387mil","B","90.00","10u"
"C92","0402","41343.82mil","43465.47mil","41343.82mil","43465.47mil","41343.82mil","43446.572mil","B","90.00","100n"
"C91","0603","41233.82mil","43445.47mil","41233.82mil","43445.47mil","41233.82mil","43413.383mil","B","90.00","10u"
"C90","0402","41973.82mil","43470.47mil","41973.82mil","43470.47mil","41973.82mil","43489.368mil","T","270.00","100n"
"C89","0402","41933.81mil","43470.47mil","41933.81mil","43470.47mil","41933.81mil","43489.368mil","T","270.00","100n"
"C88","0402","41818.82mil","43470.48mil","41818.82mil","43470.48mil","41818.82mil","43489.378mil","T","270.00","100n"
"C87","0402","41778.81mil","43470.47mil","41778.81mil","43470.47mil","41778.81mil","43489.368mil","T","270.00","100n"
"C86","0402","41623.82mil","43470.47mil","41623.82mil","43470.47mil","41623.82mil","43489.368mil","T","270.00","100n"
"C85","0603","41383.82mil","43430.48mil","41383.82mil","43430.48mil","41415.907mil","43430.48mil","T","180.00","10u"
"C84","0402","41368.82mil","43480.47mil","41368.82mil","43480.47mil","41387.718mil","43480.47mil","T","180.00","100n"
"C83","0402","41233.82mil","43465.47mil","41233.82mil","43465.47mil","41233.82mil","43446.572mil","T","90.00","100n"
"C82","0603","41168.82mil","43445.47mil","41168.82mil","43445.47mil","41168.82mil","43413.383mil","T","90.00","10u"
"C81","0402","41583.82mil","43470.47mil","41583.82mil","43470.47mil","41583.82mil","43489.368mil","T","270.00","100n"
"C80","0402","41348.82mil","42005.48mil","41348.82mil","42005.48mil","41348.82mil","42024.378mil","T","270.00","100n"
"C79","0402","41428.82mil","42005.47mil","41428.82mil","42005.47mil","41428.82mil","42024.368mil","T","270.00","100n"
"C78","0402","41388.82mil","42005.47mil","41388.82mil","42005.47mil","41388.82mil","42024.368mil","T","270.00","100n"
"C77","0402","41508.82mil","42005.48mil","41508.82mil","42005.48mil","41508.82mil","42024.378mil","T","270.00","100n"
"C76","0402","41468.82mil","42005.47mil","41468.82mil","42005.47mil","41468.82mil","42024.368mil","T","270.00","100n"
"C75","0402","41548.82mil","42005.47mil","41548.82mil","42005.47mil","41548.82mil","42024.368mil","T","270.00","100n"
"C74","0402","41588.82mil","42005.47mil","41588.82mil","42005.47mil","41588.82mil","42024.368mil","T","270.00","100n"
"C73","0402","41628.82mil","42005.47mil","41628.82mil","42005.47mil","41628.82mil","42024.368mil","T","270.00","100n"
"C72","0402","43297.68mil","41778.47mil","43297.68mil","41778.47mil","43297.68mil","41759.572mil","T","90.00","100n"
"C71","0402","42763.82mil","42535.47mil","42763.82mil","42535.47mil","42782.718mil","42535.47mil","T","180.00","100n"
"C67","0402","42993.82mil","41570.46mil","42993.82mil","41570.46mil","42993.82mil","41589.358mil","T","270.00","2u2"
"C66","0402","42993.82mil","41650.47mil","42993.82mil","41650.47mil","42993.82mil","41631.572mil","T","90.00","1u"
"C65","0402","41283.82mil","42320.47mil","41283.82mil","42320.47mil","41264.922mil","42320.47mil","T","360.00","2u2"
"C64","0402","40528.82mil","43320.46mil","40528.82mil","43320.46mil","40528.82mil","43339.358mil","T","270.00","47p"
"C63","0603","42773.82mil","42475.47mil","42773.82mil","42475.47mil","42805.907mil","42475.47mil","T","180.00","10u"
"C62","0402","41023.82mil","41955.47mil","41023.82mil","41955.47mil","41004.922mil","41955.47mil","T","360.00","4u7"
"C61","0402","43498.82mil","41685.47mil","43498.82mil","41685.47mil","43498.82mil","41704.368mil","T","270.00","100p"
"C60","0603","43538.82mil","41955.47mil","43538.82mil","41955.47mil","43506.733mil","41955.47mil","T","360.00","10u"
"C59","0402","43478.82mil","41870.47mil","43478.82mil","41870.47mil","43497.718mil","41870.47mil","T","180.00","2u2"
"C58","0603","43603.82mil","42560.47mil","43603.82mil","42560.47mil","43603.82mil","42528.383mil","T","90.00","10u"
"C57","0402","43463.82mil","42370.47mil","43463.82mil","42370.47mil","43482.718mil","42370.47mil","T","180.00","4u7"
"C56","0603","43843.82mil","42370.47mil","43843.82mil","42370.47mil","43811.733mil","42370.47mil","T","360.00","10u"
"C55","0402","44020.82mil","42627.61mil","44020.82mil","42627.61mil","44001.922mil","42627.61mil","T","360.00","4u7"
"C54","0402","42240mil","41885mil","42240mil","41885mil","42240mil","41866.102mil","T","90.00","100n"
"C53","0402","42195mil","41885mil","42195mil","41885mil","42195mil","41866.102mil","T","90.00","100n"
"C50","0402","41938.82mil","41885.47mil","41938.82mil","41885.47mil","41938.82mil","41866.572mil","T","90.00","100n"
"C48","0402","41983.82mil","41885.47mil","41983.82mil","41885.47mil","41983.82mil","41866.572mil","T","90.00","100n"
"C47","0603","43538.83mil","42015.47mil","43538.83mil","42015.47mil","43506.743mil","42015.47mil","T","360.00","10u"
"C46","0402","43528.82mil","42075.47mil","43528.82mil","42075.47mil","43509.922mil","42075.47mil","T","360.00","100n"
"C45","0402","42887.82mil","42064.87mil","42887.82mil","42064.87mil","42887.82mil","42083.768mil","T","270.00","100n"
"C44","0402","42854.19mil","42065.05mil","42854.19mil","42065.05mil","42854.19mil","42083.948mil","T","270.00","100n"
"C43","0402","42629.68mil","42019.73mil","42629.68mil","42019.73mil","42629.68mil","42038.628mil","T","270.00","100n"
"C42","0402","42596.11mil","42019.73mil","42596.11mil","42019.73mil","42596.11mil","42038.628mil","T","270.00","100n"
"C41","0402","42333.82mil","42530.47mil","42333.82mil","42530.47mil","42314.922mil","42530.47mil","T","360.00","47n"
"C40","0402","42559.87mil","42019.73mil","42559.87mil","42019.73mil","42559.87mil","42038.628mil","T","270.00","100n"
"C39","0402","42527.47mil","42019.73mil","42527.47mil","42019.73mil","42527.47mil","42038.628mil","T","270.00","100n"
"C36","0402","42998.83mil","42265.47mil","42998.83mil","42265.47mil","42979.932mil","42265.47mil","T","360.00","100n"
"C35","0603","42038.81mil","41816.48mil","42038.81mil","41816.48mil","42038.81mil","41848.567mil","T","270.00","10u"
"C34","0805","42348.82mil","42170.47mil","42348.82mil","42170.47mil","42383.269mil","42170.47mil","T","180.00","47u"
"C33","0402","42008.82mil","42260.48mil","42008.82mil","42260.48mil","42008.82mil","42241.582mil","T","90.00","100n"
"C32","0402","41723.83mil","42325.47mil","41723.83mil","42325.47mil","41704.932mil","42325.47mil","T","360.00","1u"
"C31","1206","41833.82mil","42235.47mil","41833.82mil","42235.47mil","41833.82mil","42298.462mil","T","270.00","100u"
"C30","0402","43313.82mil","41715.47mil","43313.82mil","41715.47mil","43332.718mil","41715.47mil","T","180.00","100n"
"C29","0402","43183.83mil","41530.47mil","43183.83mil","41530.47mil","43164.932mil","41530.47mil","T","360.00","47p"
"C28","0402","41283.82mil","42120.47mil","41283.82mil","42120.47mil","41264.922mil","42120.47mil","T","360.00","1u"
"C27","0402","41693.82mil","41650.47mil","41693.82mil","41650.47mil","41693.82mil","41669.368mil","T","270.00","100n"
"C26","0402","41808.82mil","41815.47mil","41808.82mil","41815.47mil","41808.82mil","41796.572mil","T","90.00","100n"
"C25","0402","40608.82mil","43390.47mil","40608.82mil","43390.47mil","40627.718mil","43390.47mil","T","180.00","4n7"
"C24","0402","40728.82mil","43320.47mil","40728.82mil","43320.47mil","40728.82mil","43301.572mil","T","90.00","10n"
"C23","1206","40813.82mil","43085.47mil","40813.82mil","43085.47mil","40813.82mil","43022.478mil","T","90.00","2u2"
"C22","1206","40978.83mil","43390.47mil","40978.83mil","43390.47mil","41041.822mil","43390.47mil","T","180.00","2u2"
"C21","1206","40813.82mil","43290.46mil","40813.82mil","43290.46mil","40813.82mil","43353.452mil","T","270.00","2u2"
"C20","0402","43423.82mil","42285.47mil","43423.82mil","42285.47mil","43442.718mil","42285.47mil","T","180.00","100n"
"C19","0402","40718.82mil","43040.47mil","40718.82mil","43040.47mil","40718.82mil","43059.368mil","T","270.00","100n"
"C18","0805","40728.82mil","42600.47mil","40728.82mil","42600.47mil","40728.82mil","42634.919mil","T","270.00","47u"
"C17","0805","40648.83mil","42600.47mil","40648.83mil","42600.47mil","40648.83mil","42634.919mil","T","270.00","47u"
"C16","0805","40808.82mil","42600.46mil","40808.82mil","42600.46mil","40808.82mil","42634.909mil","T","270.00","47u"
"C15","0402","43268.81mil","41530.47mil","43268.81mil","41530.47mil","43287.708mil","41530.47mil","T","180.00","47p"
"C14","0805","41013.82mil","41655.47mil","41013.82mil","41655.47mil","41013.82mil","41689.919mil","T","270.00","100p"
"C13","0402","40953.82mil","41940.47mil","40953.82mil","41940.47mil","40953.82mil","41959.368mil","T","270.00","10n"
"C12","0402","42767.78mil","42019.73mil","42767.78mil","42019.73mil","42767.78mil","42038.628mil","T","270.00","100n"
"C11","1206","41098.82mil","42720.47mil","41098.82mil","42720.47mil","41161.812mil","42720.47mil","T","180.00","100u"
"C10","1206","41098.81mil","42820.47mil","41098.81mil","42820.47mil","41161.802mil","42820.47mil","T","180.00","100u"
"C9","0402","41478.82mil","42650.47mil","41478.82mil","42650.47mil","41459.922mil","42650.47mil","T","0.00","100n"
"C8","0402","42733.97mil","42019.73mil","42733.97mil","42019.73mil","42733.97mil","42038.628mil","T","270.00","100n"
"C7","0402","42698.74mil","42019.73mil","42698.74mil","42019.73mil","42698.74mil","42038.628mil","T","270.00","100n"
"C6","0402","42664.69mil","42019.73mil","42664.69mil","42019.73mil","42664.69mil","42038.628mil","T","270.00","100n"
"C5","0402","42321.68mil","41686.47mil","42321.68mil","41686.47mil","42340.578mil","41686.47mil","T","180.00","100n"
"C4","0402","42916.68mil","41722.47mil","42916.68mil","41722.47mil","42935.578mil","41722.47mil","T","180.00","4u7"
"C3","0402","42916.68mil","41677.47mil","42916.68mil","41677.47mil","42935.578mil","41677.47mil","T","180.00","4u7"
"C2","0402","41323.82mil","41650.47mil","41323.82mil","41650.47mil","41323.82mil","41669.368mil","T","270.00","4u7"
"C1","0402","41278.82mil","41650.47mil","41278.82mil","41650.47mil","41278.82mil","41669.368mil","T","270.00","4u7"
"BOOT","LED0603","43000.96mil","41286.77mil","43000.96mil","41286.77mil","43000.96mil","41314.27mil","T","270.00","KPT-1608SGC"
"BAT1","MS621FE-FL11E","40578.82mil","43520.472mil","40578.82mil","43520.472mil","40578.82mil","43490.945mil","T","90.00","MS621FE-FL11E"

